Group ,Watch,Dominant,Subordinate,Interaction,,,,
ROAD_FLATS_SE,7,Y-BMBG,RRRR,B,,,,
ROAD_FLATS_SE,7,RRRR,Y-BMBG,D,,,,
ROAD_FLATS_SE,7,RRRR,YDWD,D,,,,
ROAD_FLATS_SE,7,GBGB,YDWD,D,,,,
ROAD_FLATS_SE,7,GBGB,YGYG,P,,,,
ROAD_FLATS_SE,8,RRRR,YGYG,P,,,,
ROAD_FLATS_SE,8,RRRR,YDWD,D,,,,
ROAD_FLATS_SE,8,Y-BMBG,YGYG,P,,,,
ROAD_FLATS_SE,9,Y-BMBG,/D,P,,,,
ROAD_FLATS_SE,9,Y-BMBG,/D,D,,,,
ROAD_FLATS_SE,9,Y-BMBG,YGYG,P,,,,
ROAD_FLATS_SE,9,YBGG,YDWD,D,,,,
ROAD_FLATS_SE,9,GBGB,/D,P,,,,
ROAD_FLATS_SE,9,GBGB,/D,P,,,,
ROAD_FLATS_SE,9,GBGB,/D,D,,,,
ROAD_FLATS_SE,9,Y-BMBG,GBGB,D,,,,
ROAD_FLATS_SE,9,RRRR,YDWD,D,,,,
ROAD_FLATS_SE,9,YGYG,RRRR,D,,,,
ROAD_FLATS_SE,10,YBGG,/D,P,,,,
ROAD_FLATS_SE,10,Y-BMBG,YGYG,P,,,,
ROAD_FLATS_SE,10,Y-BMBG,YGYG,P,,,,
ROAD_FLATS_SE,10,YDWD,YGYG,P,,,,
ROAD_FLATS_SE,10,YDWD,YGYG,P,,,,
ROAD_FLATS_SE,10,YDWD,YBGG,D,,,,
ROAD_FLATS_SE,10,YBGG,YDWD,D,,,,
ROAD_FLATS_SE,10,GBGB,YDWD,D,,,,
ROAD_FLATS_SE,10,Y-BMBG,YGYG,P,,,,
ROAD_FLATS_SE,10,Y-BMBG,YGYG,D,,,,
NPB_S,1,GGWR,GWBW,P,,,,
NPB_S,1,GGWR,GWBW,D,,,,
NPB_S,1,GGWR,GWBW,B,,,,
NPB_S,1,GGWR,GWBW,B,,,,
NPB_S,1,GGWR,GWBW,B,,,,
NPB_S,1,YRYB,YBGY,D,,,,
NPB_S,1,YRYB,YBGY,D,,,,
NPB_S,1,YRYB,YBGY,B,,,,
NPB_S,1,YRYB,YBGY,B,,,,
NPB_S,1,/W,YNWB,P,,,,
NPB_S,1,/W,YNWB,P,,,,
NPB_S,1,/W,RBWN,P,,,,
NPB_S,2,GRYR,GWBW,D,,,,
NPB_S,2,GRYR,GWBW,D,,,,
NPB_S,2,GRYR,GWBW,C,,,,
NPB_S,2,GRYR,GWBW,C,,,,
NPB_S,2,GRYR,GWBW,B,,,,
NPB_S,2,GGWR,GRYR,D,,,,
NPB_S,2,GGWR,GRYR,D,,,,
NPB_S,2,GRYR,RBWN,P,,,,
NPB_S,2,GRYR,RBWN,C,,,,
NPB_S,2,GWBW,RBWN,D,,,,
NPB_S,2,GWBW,RBWN,B,,,,
NPB_S,2,YWRB,GWBW,D,,,,
NPB_S,2,YWRB,/B,P,,,,
NPB_S,2,YWRB,/B,D,,,,
NPB_S,2,YWRB,/B,D,,,,
NPB_S,2,YWRB,/B,D,,,,
